,group,kval,rhoval,Hi,method,baseline_1,baseline_2,IHi
0,experts,1,0,0.8495285714285714,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,0,0.4549208333333334,Real homophily,0.8947368421052632,0.42859472897987466,-4.217186309523811
0,experts,1,0,0.28072321055568605,Potential homophily,0.09774436090225563,,
0,amateurs,1,0,0.9754130114038131,Potential homophily,0.8947368421052632,,0.7646673948650681
0,experts,1,0.25,0.8471786296411082,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,0.25,0.47153557355673487,Real homophily,0.8947368421052632,0.42859472897987466,-4.058159510242682
0,experts,1,0.25,0.27965932794102066,Potential homophily,0.09774436090225563,,
0,amateurs,1,0.25,0.9762807628202895,Potential homophily,0.8947368421052632,,0.7729730155656283
0,experts,1,0.5,0.8447907763731467,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,0.5,0.488031667758449,Real homophily,0.8947368421052632,0.42859472897987466,-3.9002683228834183
0,experts,1,0.5,0.2791054396662211,Potential homophily,0.09774436090225563,,
0,amateurs,1,0.5,0.9769621575434398,Potential homophily,0.8947368421052632,,0.7794949364872099
0,experts,1,0.75,0.8423660852886925,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,0.75,0.5044241393235197,Real homophily,0.8947368421052632,0.42859472897987466,-3.74336895218917
0,experts,1,0.75,0.2787531653720673,Potential homophily,0.09774436090225563,,
0,amateurs,1,0.75,0.9775400519454105,Potential homophily,0.8947368421052632,,0.7850262114775004
0,experts,1,1,0.839905760667045,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,1,0.5206714323423045,Real homophily,0.8947368421052632,0.42859472897987466,-3.5878591475808013
0,experts,1,1,0.2785385027254014,Potential homophily,0.09774436090225563,,
0,amateurs,1,1,0.978022993598564,Potential homophily,0.8947368421052632,,0.7896486530148271
0,experts,1,1.25,0.8374111353954853,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,1.25,0.5367284788801697,Real homophily,0.8947368421052632,0.42859472897987466,-3.4341702735755195
0,experts,1,1.25,0.2784218522041659,Potential homophily,0.09774436090225563,,
0,amateurs,1,1.25,0.9784213773485554,Potential homophily,0.8947368421052632,,0.7934617546218872
0,experts,1,1.5,0.8348836675993738,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,1,1.5,0.552548683095281,Real homophily,0.8947368421052632,0.42859472897987466,-3.2827483189451683
0,experts,1,1.5,0.2783734084540722,Potential homophily,0.09774436090225563,,
0,amateurs,1,1.5,0.9787448200395852,Potential homophily,0.8947368421052632,,0.7965575632360296
0,experts,2,0,0.8778464285714286,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,0,0.37293708333333336,Real homophily,0.8947368421052632,0.42859472897987466,-5.001887916666669
0,experts,2,0,0.2846127323185487,Potential homophily,0.09774436090225563,,
0,amateurs,2,0,0.9759400642717003,Potential homophily,0.8947368421052632,,0.7697120437434173
0,experts,2,0.25,0.8760163446443014,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,0.25,0.3890366148169765,Real homophily,0.8947368421052632,0.42859472897987466,-4.847792401037513
0,experts,2,0.25,0.2850897586515343,Potential homophily,0.09774436090225563,,
0,amateurs,2,0.25,0.9770567467412694,Potential homophily,0.8947368421052632,,0.7804002902378643
0,experts,2,0.5,0.8741375700318723,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,0.5,0.4050962474211891,Real homophily,0.8947368421052632,0.42859472897987466,-4.694078774682906
0,experts,2,0.5,0.2858610020573405,Potential homophily,0.09774436090225563,,
0,amateurs,2,0.5,0.9778867059567252,Potential homophily,0.8947368421052632,,0.7883441855857984
0,experts,2,0.75,0.8722099038022075,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,0.75,0.4213688604427714,Real homophily,0.8947368421052632,0.42859472897987466,-4.538326621476332
0,experts,2,0.75,0.28662403654054114,Potential homophily,0.09774436090225563,,
0,amateurs,2,0.75,0.9785966448287649,Potential homophily,0.8947368421052632,,0.7951393147896063
0,experts,2,1,0.870233267393633,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,1,0.43780804859308037,Real homophily,0.8947368421052632,0.42859472897987466,-4.380980106323375
0,experts,2,1,0.28733039975178254,Potential homophily,0.09774436090225563,,
0,amateurs,2,1,0.979202612304132,Potential homophily,0.8947368421052632,,0.8009392891966917
0,experts,2,1.25,0.8682077129757236,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,1.25,0.4543631634089593,Real homophily,0.8947368421052632,0.42859472897987466,-4.2225240073713906
0,experts,2,1.25,0.2879624634204396,Potential homophily,0.09774436090225563,,
