,group,kval,rhoval,Hi,method,baseline_1,baseline_2,rater
0,experts,1,0,0.9327,Real homophily,0.09774436090225563,0.5462111222355677,0
0,experts,1,0,0.9172,Real homophily,0.09774436090225563,0.5514734471867935,1
0,experts,1,0,0.8962,Real homophily,0.09774436090225563,0.5354043751045536,2
0,experts,1,0,0.5927,Real homophily,0.09774436090225563,0.5543902803437576,3
0,experts,1,0,0.8952000000000001,Real homophily,0.09774436090225563,0.5537274378760353,4
0,experts,1,0,0.9965,Real homophily,0.09774436090225563,0.5482057966512747,5
0,experts,1,0,0.9509000000000001,Real homophily,0.09774436090225563,0.5534042604429927,6
0,experts,1,0,0.9249,Real homophily,0.09774436090225563,0.5350151528428908,7
0,experts,1,0,0.9973,Real homophily,0.09774436090225563,0.546637388678059,8
0,experts,1,0,0.5648,Real homophily,0.09774436090225563,0.5580449968130977,9
0,experts,1,0,0.4786000000000001,Real homophily,0.09774436090225563,0.5658916739486043,10
0,experts,1,0,0.9259,Real homophily,0.09774436090225563,0.5448155372121634,11
0,experts,1,0,0.9467,Real homophily,0.09774436090225563,0.551799424093168,12
0,experts,1,0,0.8738,Real homophily,0.09774436090225563,0.5663664980279399,13
0,amateurs,1,0,0.0585,Real homophily,0.8947368421052632,0.4294827243210131,14
0,amateurs,1,0,0.3747,Real homophily,0.8947368421052632,0.4288610287136045,15
0,amateurs,1,0,0.20560000000000003,Real homophily,0.8947368421052632,0.42861642029014035,16
0,amateurs,1,0,0.2797,Real homophily,0.8947368421052632,0.42821569969828666,17
0,amateurs,1,0,0.5199,Real homophily,0.8947368421052632,0.4283938671080723,18
0,amateurs,1,0,0.5674,Real homophily,0.8947368421052632,0.4295049027045257,19
0,amateurs,1,0,0.6402,Real homophily,0.8947368421052632,0.42399655588515267,20
0,amateurs,1,0,0.6757,Real homophily,0.8947368421052632,0.4257995229317409,21
0,amateurs,1,0,0.48100000000000004,Real homophily,0.8947368421052632,0.4286609101320693,22
0,amateurs,1,0,0.3284,Real homophily,0.8947368421052632,0.4293939935402871,23
0,amateurs,1,0,0.5876,Real homophily,0.8947368421052632,0.427814416648243,24
0,amateurs,1,0,0.26780000000000004,Real homophily,0.8947368421052632,0.4266519841538839,25
0,amateurs,1,0,0.3849,Real homophily,0.8947368421052632,0.4255522845378773,26
0,amateurs,1,0,0.48829999999999996,Real homophily,0.8947368421052632,0.4221367260975859,27
0,amateurs,1,0,0.6745000000000001,Real homophily,0.8947368421052632,0.42863866607717066,28
0,amateurs,1,0,0.39339999999999997,Real homophily,0.8947368421052632,0.4240417680433579,29
0,amateurs,1,0,0.2729,Real homophily,0.8947368421052632,0.42277313878738615,30
0,amateurs,1,0,0.5091,Real homophily,0.8947368421052632,0.4284606512642443,31
0,amateurs,1,0,0.3877,Real homophily,0.8947368421052632,0.4291720457913041,32
0,amateurs,1,0,0.5077,Real homophily,0.8947368421052632,0.42828252549123724,33
0,amateurs,1,0,0.4054,Real homophily,0.8947368421052632,0.42952707936377293,34
0,amateurs,1,0,0.3467,Real homophily,0.8947368421052632,0.42903879424511704,35
0,amateurs,1,0,0.4173,Real homophily,0.8947368421052632,0.42863866607717066,36
0,amateurs,1,0,0.6214,Real homophily,0.8947368421052632,0.42899436323724555,37
0,amateurs,1,0,0.49670000000000003,Real homophily,0.8947368421052632,0.42821569969828666,38
0,amateurs,1,0,0.023,Real homophily,0.8947368421052632,0.4294383623803876,39
0,amateurs,1,0,0.5335,Real homophily,0.8947368421052632,0.4291498415196618,40
0,amateurs,1,0,0.3255,Real homophily,0.8947368421052632,0.4262485024706418,41
0,amateurs,1,0,0.5544,Real homophily,0.8947368421052632,0.42921644915293466,42
0,amateurs,1,0,0.6556,Real homophily,0.8947368421052632,0.42765820997561693,43
0,amateurs,1,0,0.6907,Real homophily,0.8947368421052632,0.4280597120792536,44
0,amateurs,1,0,0.5304,Real homophily,0.8947368421052632,0.42932742734009965,45
0,amateurs,1,0,0.4294,Real homophily,0.8947368421052632,0.4295049027045257,46
0,amateurs,1,0,0.5714,Real homophily,0.8947368421052632,0.42854967253423654,47
0,amateurs,1,0,0.45649999999999996,Real homophily,0.8947368421052632,0.42903879424511704,48
0,amateurs,1,0,0.6808,Real homophily,0.8947368421052632,0.42810428865437167,49
0,amateurs,1,0,0.5294,Real homophily,0.8947368421052632,0.42797053807856356,50
0,amateurs,1,0,0.28750000000000003,Real homophily,0.8947368421052632,0.42832706734266973,51
0,amateurs,1,0,0.7123,Real homophily,0.8947368421052632,0.4283938671080723,52
0,amateurs,1,0,0.5205,Real homophily,0.8947368421052632,0.4287053930462811,53
0,amateurs,1,0,0.18630000000000002,Real homophily,0.8947368421052632,0.42952707936377293,54
0,amateurs,1,0,0.5264,Real homophily,0.8947368421052632,0.4293496177991021,55
0,amateurs,1,0,0.6037,Real homophily,0.8947368421052632,0.42863866607717066,56
0,amateurs,1,0,0.3761,Real homophily,0.8947368421052632,0.428927703758194,57
0,amateurs,1,0,0.4885,Real homophily,0.8947368421052632,0.42656237060712165,58
0,amateurs,1,0,0.5877000000000001,Real homophily,0.8947368421052632,0.42932742734009965,59
0,amateurs,1,0,0.652,Real homophily,0.8947368421052632,0.42832706734266973,60
0,amateurs,1,0,0.262,Real homophily,0.8947368421052632,0.4294827243210131,61
0,amateurs,1,0,0.30130000000000007,Real homophily,0.8947368421052632,0.42952707936377293,62
0,amateurs,1,0,0.5419,Real homophily,0.8947368421052632,0.4293718065324308,63
0,amateurs,1,0,0.27290000000000003,Real homophily,0.8947368421052632,0.4293496177991021,64
0,amateurs,1,0,0.5064,Real homophily,0.8947368421052632,0.42890548047310423,65
0,amateurs,1,0,0.6395000000000001,Real homophily,0.8947368421052632,0.42859417277077616,66
0,amateurs,1,0,0.22150000000000003,Real homophily,0.8947368421052632,0.4294161788228723,67
0,amateurs,1,0,0.1875,Real homophily,0.8947368421052632,0.42928304124426836,68
0,amateurs,1,0,0.6689,Real homophily,0.8947368421052632,0.42785903146633414,69
0,amateurs,1,0,0.391,Real homophily,0.8947368421052632,0.42765820997561693,70
0,amateurs,1,0,0.3618,Real homophily,0.8947368421052632,0.4293718065324308,71
0,amateurs,1,0,0.37289999999999995,Real homophily,0.8947368421052632,0.42897214514006277,72
0,amateurs,1,0,0.5068,Real homophily,0.8947368421052632,0.4288832554583084,73
0,amateurs,1,0,0.3752,Real homophily,0.8947368421052632,0.42912763552053285,74
0,amateurs,1,0,0.6919,Real homophily,0.8947368421052632,0.4259567456786278,75
0,amateurs,1,0,0.4307,Real homophily,0.8947368421052632,0.4287053930462811,76
0,amateurs,1,0,0.1729,Real homophily,0.8947368421052632,0.4290832183390082,77
0,amateurs,1,0,0.37160000000000004,Real homophily,0.8947368421052632,0.42928304124426836,78
0,amateurs,1,0,0.3624,Real homophily,0.8947368421052632,0.42921644915293466,79
0,amateurs,1,0,0.2081,Real homophily,0.8947368421052632,0.42890548047310423,80
0,amateurs,1,0,0.5157,Real homophily,0.8947368421052632,0.4293496177991021,81
0,amateurs,1,0,0.7611,Real homophily,0.8947368421052632,0.42745724745870545,82
0,amateurs,1,0,0.5077,Real homophily,0.8947368421052632,0.4290610071562093,83
0,amateurs,1,0,0.48380000000000006,Real homophily,0.8947368421052632,0.4290610071562093,84
0,amateurs,1,0,0.3196,Real homophily,0.8947368421052632,0.4290610071562093,85
0,amateurs,1,0,0.5767,Real homophily,0.8947368421052632,0.428927703758194,86
0,amateurs,1,0,0.23479999999999998,Real homophily,0.8947368421052632,0.42926084560703676,87
0,amateurs,1,0,0.5725,Real homophily,0.8947368421052632,0.42952707936377293,88
0,amateurs,1,0,0.5077,Real homophily,0.8947368421052632,0.42926084560703676,89
0,amateurs,1,0,0.37960000000000005,Real homophily,0.8947368421052632,0.4293052351552222,90
0,amateurs,1,0,0.5745,Real homophily,0.8947368421052632,0.42797053807856356,91
0,amateurs,1,0,0.4753,Real homophily,0.8947368421052632,0.4287053930462811,92
0,amateurs,1,0,0.2028,Real homophily,0.8947368421052632,0.4294605442130341,93
0,amateurs,1,0,0.36410000000000003,Real homophily,0.8947368421052632,0.4294827243210131,94
0,amateurs,1,0,0.5446,Real homophily,0.8947368421052632,0.4286609101320693,95
0,amateurs,1,0,0.3204,Real homophily,0.8947368421052632,0.42826025196256345,96
0,amateurs,1,0,0.2866,Real homophily,0.8947368421052632,0.4294605442130341,97
0,amateurs,1,0,0.5352,Real homophily,0.8947368421052632,0.4294161788228723,98
0,amateurs,1,0,0.35710000000000003,Real homophily,0.8947368421052632,0.4294827243210131,99
0,amateurs,1,0,0.6389,Real homophily,0.8947368421052632,0.42926084560703676,100
0,amateurs,1,0,0.3909000000000001,Real homophily,0.8947368421052632,0.4290832183390082,101
0,amateurs,1,0,0.39890000000000003,Real homophily,0.8947368421052632,0.42928304124426836,102
0,amateurs,1,0,0.7674000000000001,Real homophily,0.8947368421052632,0.4281265743363349,103
0,amateurs,1,0,0.5799000000000001,Real homophily,0.8947368421052632,0.4276358877740439,104
0,amateurs,1,0,0.5912999999999999,Real homophily,0.8947368421052632,0.4293052351552222,105
0,amateurs,1,0,0.4632,Real homophily,0.8947368421052632,0.42874986903439366,106
0,amateurs,1,0,0.5667,Real homophily,0.8947368421052632,0.4277697948715967,107
0,amateurs,1,0,0.5497000000000001,Real homophily,0.8947368421052632,0.4293939935402871,108
0,amateurs,1,0,0.5854,Real homophily,0.8947368421052632,0.4294827243210131,109
0,amateurs,1,0,0.3033,Real homophily,0.8947368421052632,0.4289499253137795,110
0,amateurs,1,0,0.4841,Real homophily,0.8947368421052632,0.42890548047310423,111
0,amateurs,1,0,0.5496,Real homophily,0.8947368421052632,0.42841613022755176,112
0,amateurs,1,0,0.3668,Real homophily,0.8947368421052632,0.4288832554583084,113
0,amateurs,1,0,0.5133,Real homophily,0.8947368421052632,0.429238648243326,114
0,amateurs,1,0,0.366,Real homophily,0.8947368421052632,0.429238648243326,115
0,amateurs,1,0,0.7345,Real homophily,0.8947368421052632,0.42872763190599866,116
0,amateurs,1,0,0.5762,Real homophily,0.8947368421052632,0.4285274198166563,117
0,amateurs,1,0,0.4986,Real homophily,0.8947368421052632,0.4290165796055297,118
0,amateurs,1,0,0.28759999999999997,Real homophily,0.8947368421052632,0.4293939935402871,119
0,amateurs,1,0,0.1946,Real homophily,0.8947368421052632,0.42952707936377293,120
0,amateurs,1,0,0.2632,Real homophily,0.8947368421052632,0.4294605442130341,121
0,amateurs,1,0,0.3878,Real homophily,0.8947368421052632,0.4290832183390082,122
0,amateurs,1,0,0.5453,Real homophily,0.8947368421052632,0.4291054277937155,123
0,amateurs,1,0,0.35300000000000004,Real homophily,0.8947368421052632,0.4285274198166563,124
0,amateurs,1,0,0.5143000000000001,Real homophily,0.8947368421052632,0.428927703758194,125
0,amateurs,1,0,0.3649,Real homophily,0.8947368421052632,0.4293052351552222,126
0,amateurs,1,0,0.5008,Real homophily,0.8947368421052632,0.42912763552053285,127
0,amateurs,1,0,0.4621,Real homophily,0.8947368421052632,0.4285719235188757,128
0,amateurs,1,0,0.5745,Real homophily,0.8947368421052632,0.4288610287136045,129
0,amateurs,1,0,0.6417,Real homophily,0.8947368421052632,0.42952707936377293,130
0,amateurs,1,0,0.4448,Real homophily,0.8947368421052632,0.4294605442130341,131
0,amateurs,1,0,0.3987,Real homophily,0.8947368421052632,0.4294161788228723,132
0,amateurs,1,0,0.5514,Real homophily,0.8947368421052632,0.4293939935402871,133
0,experts,1,0.25,0.9337034419283236,Real homophily,0.09774436090225563,0.5462111222355677,0
0,experts,1,0.25,0.9166126668412314,Real homophily,0.09774436090225563,0.5514734471867935,1
0,experts,1,0.25,0.8952533321850894,Real homophily,0.09774436090225563,0.5354043751045536,2
0,experts,1,0.25,0.5890188412318573,Real homophily,0.09774436090225563,0.5543902803437576,3
0,experts,1,0.25,0.8931192133249047,Real homophily,0.09774436090225563,0.5537274378760353,4
0,experts,1,0.25,0.9966079908882928,Real homophily,0.09774436090225563,0.5482057966512747,5
0,experts,1,0.25,0.9505682518170485,Real homophily,0.09774436090225563,0.5534042604429927,6
0,experts,1,0.25,0.924048514609737,Real homophily,0.09774436090225563,0.5350151528428908,7
0,experts,1,0.25,0.9972942776512355,Real homophily,0.09774436090225563,0.546637388678059,8
0,experts,1,0.25,0.5560035138913297,Real homophily,0.09774436090225563,0.5580449968130977,9
0,experts,1,0.25,0.4654378990548124,Real homophily,0.09774436090225563,0.5658916739486043,10
0,experts,1,0.25,0.9245134529292943,Real homophily,0.09774436090225563,0.5448155372121634,11
0,experts,1,0.25,0.9462026823464408,Real homophily,0.09774436090225563,0.551799424093168,12
0,experts,1,0.25,0.8721167362759177,Real homophily,0.09774436090225563,0.5663664980279399,13
0,amateurs,1,0.25,0.05706091202740321,Real homophily,0.8947368421052632,0.4294827243210131,14
0,amateurs,1,0.25,0.3941516849407587,Real homophily,0.8947368421052632,0.4288610287136045,15
