,group,kval,rhoval,proportion_per_capita,proportion_gross,method,baseline_1,baseline_2
0,experts,1,0,0.0038427913438969356,0.053799078814557096,Potential influence,0.007518796992481203,
0,amateurs,1,0,0.007885007676545357,0.9462009211854429,Potential influence,0.007518796992481203,
0,experts,1,0,0.04120623667377398,0.5768873134328357,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,0,0.003525939054726367,0.42311268656716405,Real influence,0.007518796992481203,0.4306558073107654
0,experts,1,0.25,0.0037003272255616906,0.05180458115786367,Potential influence,0.007518796992481203,
0,amateurs,1,0.25,0.007901628490351136,0.9481954188421363,Potential influence,0.007518796992481203,
0,experts,1,0.25,0.040125923234630774,0.5617629252848308,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,0.25,0.00365197562262641,0.4382370747151692,Real influence,0.007518796992481203,0.4306558073107654
0,experts,1,0.5,0.003583829548155839,0.050173613674181744,Potential influence,0.007518796992481203,
0,amateurs,1,0.5,0.007915219886048484,0.9498263863258182,Potential influence,0.007518796992481203,
0,experts,1,0.5,0.03905291617175382,0.5467408264045535,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,0.5,0.0037771597799620537,0.45325917359544643,Real influence,0.007518796992481203,0.4306558073107654
0,experts,1,0.75,0.0034699735827208853,0.04857963015809239,Potential influence,0.007518796992481203,
0,amateurs,1,0.75,0.007928503082015896,0.9514203698419075,Potential influence,0.007518796992481203,
0,experts,1,0.75,0.037986262513443135,0.5318076751882039,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,0.75,0.003901602706764967,0.468192324811796,Real influence,0.007518796992481203,0.4306558073107654
0,experts,1,1,0.0033603787162344413,0.04704530202728218,Potential influence,0.007518796992481203,
0,amateurs,1,1,0.007941289149772648,0.9529546979727177,Potential influence,0.007518796992481203,
0,experts,1,1,0.03692862940738917,0.5170008117034484,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,1,0.0040249932358045965,0.4829991882965516,Real influence,0.007518796992481203,0.4306558073107654
0,experts,1,1.25,0.0032559380039581622,0.04558313205541427,Potential influence,0.007518796992481203,
0,amateurs,1,1.25,0.007953473899538214,0.9544168679445857,Potential influence,0.007518796992481203,
0,experts,1,1.25,0.03588290961082965,0.5023607345516151,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,1.25,0.004146993878736542,0.497639265448385,Real influence,0.007518796992481203,0.4306558073107654
0,experts,1,1.5,0.0031572571419093373,0.04420159998673072,Potential influence,0.007518796992481203,
0,amateurs,1,1.5,0.007964986666777245,0.9557984000132693,Potential influence,0.007518796992481203,
0,experts,1,1.5,0.03485209454955092,0.4879293236937129,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,1,1.5,0.004267255635885727,0.5120706763062872,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,0,0.0037701326654131537,0.05278185731578415,Potential influence,0.007518796992481203,
0,amateurs,2,0,0.007893484522368465,0.9472181426842158,Potential influence,0.007518796992481203,
0,experts,2,0,0.04666172707889125,0.6532641791044774,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,0,0.002889465174129353,0.3467358208955224,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,0.25,0.0036298290626452364,0.05081760687703331,Potential influence,0.007518796992481203,
0,amateurs,2,0.25,0.007909853276024722,0.9491823931229666,Potential influence,0.007518796992481203,
0,experts,2,0.25,0.04561824895894619,0.6386554854252467,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,0.25,0.0030112042881229456,0.3613445145747535,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,0.5,0.00351909272575885,0.0492672981606239,Potential influence,0.007518796992481203,
0,amateurs,2,0.5,0.007922772515328134,0.9507327018393761,Potential influence,0.007518796992481203,
0,experts,2,0.5,0.04457695964280572,0.62407743499928,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,0.5,0.003132688041672667,0.37592256500072,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,0.75,0.003409780407689564,0.04773692570765389,Potential influence,0.007518796992481203,
0,amateurs,2,0.75,0.007935525619102884,0.952263074292346,Potential influence,0.007518796992481203,
0,experts,2,0.75,0.043521681982994866,0.6093035477619281,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,0.75,0.003255803768650601,0.3906964522380721,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,1,0.003303198054251634,0.04624477275952287,Potential influence,0.007518796992481203,
0,amateurs,2,1,0.007947960227003973,0.9537552272404769,Potential influence,0.007518796992481203,
0,experts,2,1,0.04245538374858272,0.5943753724801581,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,1,0.0033802052293320137,0.40562462751984163,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,1.25,0.003200298617946386,0.04480418065124941,Potential influence,0.007518796992481203,
0,amateurs,2,1.25,0.007959965161239587,0.9551958193487504,Potential influence,0.007518796992481203,
0,experts,2,1.25,0.041381305102657265,0.5793382714372017,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,1.25,0.0035055144046899863,0.4206617285627984,Real influence,0.007518796992481203,0.4306558073107654
0,experts,2,1.5,0.003101895070975522,0.04342653099365731,Potential influence,0.007518796992481203,
0,amateurs,2,1.5,0.007971445575052855,0.9565734690063427,Potential influence,0.007518796992481203,
0,experts,2,1.5,0.040303313754066816,0.5642463925569354,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,2,1.5,0.0036312800620255385,0.43575360744306463,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,0,0.0046297754291229004,0.06481685600772061,Potential influence,0.007518796992481203,
0,amateurs,3,0,0.007793192866602328,0.9351831439922794,Potential influence,0.007518796992481203,
0,experts,3,0,0.04984740582800286,0.69786368159204,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,0,0.002517802653399668,0.3021363184079602,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,0.25,0.004457653097552049,0.06240714336572868,Potential influence,0.007518796992481203,
0,amateurs,3,0.25,0.007813273805285594,0.9375928566342713,Potential influence,0.007518796992481203,
0,experts,3,0.25,0.04885138768778513,0.6839194276289918,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,0.25,0.002634004769758402,0.31608057237100823,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,0.5,0.0043200010937350574,0.0604800153122908,Potential influence,0.007518796992481203,
0,amateurs,3,0.5,0.00782933320573091,0.9395199846877093,Potential influence,0.007518796992481203,
0,experts,3,0.5,0.04786405223005562,0.6700967312207786,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,0.5,0.0027491939064935114,0.3299032687792214,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,0.75,0.004187103512147733,0.05861944917006827,Potential influence,0.007518796992481203,
0,amateurs,3,0.75,0.007844837923582764,0.9413805508299318,Potential influence,0.007518796992481203,
0,experts,3,0.75,0.046847610873456194,0.6558665522283867,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,0.75,0.0028677787314301106,0.34413344777161325,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,1,0.004059632562330784,0.05683485587263098,Potential influence,0.007518796992481203,
0,amateurs,3,1,0.007859709534394741,0.9431651441273691,Potential influence,0.007518796992481203,
0,experts,3,1,0.04580464812922484,0.6412650738091478,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,1,0.0029894577182571023,0.3587349261908523,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,1.25,0.003938140683156333,0.055133969564188666,Potential influence,0.007518796992481203,
0,amateurs,3,1.25,0.007873883586965095,0.9448660304358113,Potential influence,0.007518796992481203,
0,experts,3,1.25,0.04473831812290008,0.6263364537206011,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,1.25,0.0031138628856616575,0.3736635462793989,Real influence,0.007518796992481203,0.4306558073107654
0,experts,3,1.5,0.0038231721081242696,0.053524409513739775,Potential influence,0.007518796992481203,
0,amateurs,3,1.5,0.0078872965873855,0.9464755904862601,Potential influence,0.007518796992481203,
0,experts,3,1.5,0.04365282039001679,0.6111394854602351,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,3,1.5,0.003240504287831374,0.3888605145397649,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,0,0.005878186928584513,0.08229461700018317,Potential influence,0.007518796992481203,
0,amateurs,5,0,0.007647544858331807,0.9177053829998169,Potential influence,0.007518796992481203,
0,experts,5,0,0.05237832589103808,0.7332965624745331,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,0,0.0022225286460455583,0.266703437525467,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,0.25,0.0056586579715218405,0.07922121160130577,Potential influence,0.007518796992481203,
0,amateurs,5,0.25,0.007673156569989117,0.9207787883986941,Potential influence,0.007518796992481203,
0,experts,5,0.25,0.051511922430823684,0.7211669140315315,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,0.25,0.002323609049737238,0.27883308596846856,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,0.5,0.005479148326748435,0.07670807657447809,Potential influence,0.007518796992481203,
0,amateurs,5,0.5,0.00769409936187935,0.9232919234255219,Potential influence,0.007518796992481203,
0,experts,5,0.5,0.050673976029691196,0.7094356644156767,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,0.5,0.002421369463202693,0.29056433558432315,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,0.75,0.00530584617080077,0.07428184639121077,Potential influence,0.007518796992481203,
0,amateurs,5,0.75,0.00771431794673991,0.9257181536087892,Potential influence,0.007518796992481203,
0,experts,5,0.75,0.04978632851846865,0.6970085992585611,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,0.75,0.002524928339511991,0.30299140074143893,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,1,0.005139373355892383,0.07195122698249337,Potential influence,0.007518796992481203,
0,amateurs,5,1,0.007733739775145889,0.9280487730175067,Potential influence,0.007518796992481203,
0,experts,5,1,0.04884885440153299,0.6838839616214619,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,1,0.002634300319821151,0.31611603837853813,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,1.25,0.004980301771043442,0.06972422479460819,Potential influence,0.007518796992481203,
0,amateurs,5,1.25,0.007752298126711596,0.9302757752053916,Potential influence,0.007518796992481203,
0,experts,5,1.25,0.04786338183166119,0.6700873456432567,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,1.25,0.0027492721196395284,0.3299126543567434,Real influence,0.007518796992481203,0.4306558073107654
0,experts,5,1.5,0.004829211786917675,0.06760896501684745,Potential influence,0.007518796992481203,
0,amateurs,5,1.5,0.007769925291526272,0.9323910349831527,Potential influence,0.007518796992481203,
0,experts,5,1.5,0.04683386509070494,0.6556741112698692,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,5,1.5,0.0028693824060844236,0.3443258887301308,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,0,0.006553979469707066,0.09175571257589893,Potential influence,0.007518796992481203,
0,amateurs,7,0,0.0075687023952008435,0.9082442874241012,Potential influence,0.007518796992481203,
0,experts,7,0,0.05172462320234581,0.7241447248328413,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,0,0.0022987939597263218,0.27585527516715863,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,0.25,0.006308385343420078,0.08831739480788109,Potential influence,0.007518796992481203,
0,amateurs,7,0.25,0.007597355043267659,0.9116826051921191,Potential influence,0.007518796992481203,
0,experts,7,0.25,0.05107544265705744,0.7150561971988042,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,0.25,0.0023745316900099637,0.28494380280119563,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,0.5,0.0061110300312939856,0.0855544204381158,Potential influence,0.007518796992481203,
0,amateurs,7,0.5,0.007620379829682369,0.9144455795618842,Potential influence,0.007518796992481203,
