,e_a,mean_corr,disp_corr,ratings,influence,bang_for_buck
0,expert,0.4444425586095574,0.1700780890200607,1314,0.06688355090606127,5.090072367280157e-05
1,expert,0.4249536871825412,0.1995239876253417,1027,0.05018236517922484,4.8863062491942396e-05
2,expert,0.3124100575977807,0.1483369956031721,1883,0.05318451454594114,2.824456428355876e-05
3,expert,0.3254968901854669,0.1947448559599772,865,0.030665319774652665,3.54512367337025e-05
4,expert,0.3867186170070973,0.2195599157307617,902,0.04083655662553891,4.527334437421165e-05
5,expert,0.3717743186402129,0.1850366195857612,1206,0.04723040093987533,3.916285318397623e-05
6,expert,0.4335745310630258,0.2465180075366842,920,0.05204051206525691,5.65657739839749e-05
7,expert,0.4332229172259305,0.159388385585696,1903,0.09512983667187339,4.998940445185149e-05
8,expert,0.392170464143828,0.171026239077079,1291,0.05174328515997116,4.008000399687929e-05
9,expert,0.4058688829180606,0.1931692811449355,659,0.028837988598655606,4.376022549113142e-05
10,expert,0.3624531507189881,0.308466554824487,205,0.008981990181887159,4.381458625310809e-05
11,expert,0.3658506955285166,0.196621889256944,1389,0.05129977539251078,3.693288365191561e-05
12,expert,0.3636519132556932,0.1702170766310136,1009,0.03893191627932718,3.858465438981882e-05
13,expert,0.5628623148528282,0.2939999778470015,177,0.006129285192290895,3.462872989994856e-05
14,amateur,0.2659362825263315,0.3387725378012355,53,0.0014203009328661077,2.6798130808794484e-05
15,amateur,0.2476175004732629,0.4195812135978581,81,0.0027142536625301976,3.350930447568145e-05
16,amateur,0.2790040084831079,0.3170702990303494,92,0.002778455370045549,3.0200601848321182e-05
17,amateur,0.3806540126078045,0.2788163770467514,110,0.004373497051098933,3.975906410089939e-05
18,amateur,0.2513278302808767,0.3217431684402591,102,0.003090217251423607,3.0296247562976537e-05
19,amateur,0.3260505274368517,0.3411164176110369,52,0.0016277236328024966,3.130237755389417e-05
20,amateur,0.181822085467326,0.2447294260435097,298,0.006636338349278427,2.2269591776102103e-05
21,amateur,0.2328126456417621,0.3359204198949539,218,0.007380328066790134,3.385471590270704e-05
22,amateur,0.3362517330291972,0.3107476830719942,90,0.003410599660700701,3.789555178556334e-05
23,amateur,0.3510718524914188,0.3600870170811387,57,0.0019407732150922012,3.404865289635441e-05
24,amateur,0.2495154354094535,0.3313784191120661,128,0.004163421376658311,3.2526729505143054e-05
25,amateur,0.3240375384725831,0.3666935047644157,180,0.006564600345864571,3.647000192146984e-05
26,amateur,0.3035874695785724,0.3075269171846072,229,0.009307435043306568,4.0643821149810336e-05
27,amateur,0.3068541799847462,0.277805539423429,380,0.013782757138838593,3.6270413523259455e-05
28,amateur,0.2784639194914324,0.3188383084167666,91,0.0030691225582048925,3.372662151873508e-05
29,amateur,0.4123423637577947,0.2288145611410356,296,0.01429010737909515,4.827738979424037e-05
30,amateur,0.3271102718428572,0.2553124364189474,352,0.012600257727378366,3.579618672550672e-05
31,amateur,0.3301293321692167,0.3725335134945189,99,0.004135506059240532,4.1772788477177096e-05
32,amateur,0.3986063531708396,0.3516734597847568,67,0.0023598048904186577,3.5220968513711306e-05
33,amateur,0.4024333538103827,0.3130907393017297,107,0.005464545886256697,5.107052230146446e-05
34,amateur,0.2611344998224192,0.3757016109601326,51,0.0014530617984729953,2.8491407813195986e-05
35,amateur,0.2098506720458427,0.4501632394167046,73,0.0021045760250616888,2.8829808562488886e-05
